,GICS Sub-Industry,Symbol,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-11-11
0,Semiconductors,ADI,33.29962158203125,34.80741882324219,36.06764221191406,37.36288070678711,35.35369110107422,36.912841796875,36.48639678955078,39.98442840576172,37.47426223754883,38.380455017089844,40.21587371826172,39.33486557006836,41.54550552368164,39.64765548706055,41.742149353027344,43.96796798706055,42.437278747558594,43.33915328979492,45.05184555053711,41.35238265991211,42.59386444091797,41.23573684692383,41.648468017578125,45.86199188232422,46.600624084472656,44.0335578918457,49.46697998046875,53.59536361694336,52.60852813720703,57.8149528503418,54.936439514160156,49.921199798583984,47.80727767944336,48.66259765625,51.86307144165039,53.165679931640625,47.7223014831543,46.76664733886719,46.011234283447266,51.81760025024414,49.305084228515625,51.21355056762695,49.945518493652344,56.28571701049805,55.16582489013672,57.209049224853516,56.898372650146484,65.89913940429688,64.82646179199219,66.89749908447266,73.13733673095703,73.55484008789062,68.39389038085938,76.97454071044922,69.82997131347656,71.31668853759766,75.52293395996094,77.77949523925781,82.86189270019531,78.15155792236328,81.2284164428711,83.82867431640625,82.2502670288086,83.14437866210938,80.11026000976562,89.12552642822266,87.9699478149414,88.58821105957031,91.08531951904297,85.60749816894531,77.50597381591797,85.10751342773438,79.89696502685547,92.02625274658203,99.56635284423828,98.49526977539062,108.75929260253906,90.40194702148438,106.19064331054688,110.5090103149414,103.3305435180664,105.64620208740234,100.82389831542969,106.79975891113281,112.36904907226562,104.26622009277344,103.60118865966797,85.63285064697266,104.68891906738281,107.88880157470703,117.78136444091797,110.29998016357422,112.24954223632812,112.69488525390625,114.42285919189453,134.2607879638672,142.61106872558594,142.85459899902344,151.08668518066406,151.01333618164062,149.14369201660156,160.28369140625,168.3542938232422,163.71905517578125,159.34788513183594,164.4697265625,170.37171936035156,177.01019287109375,172.61073303222656,161.63955688476562,158.0118408203125,163.6269989013672,152.92855834960938,166.8167266845703,145.39024353027344,171.1363525390625,150.80419921875,139.33999633789062,142.6199951171875,164.05999755859375,164.05999755859375
1,Industrial Machinery,CMI,83.62118530273438,88.62225341796875,89.4249038696289,89.75611877441406,82.4553451538086,92.71673583984375,84.41484832763672,94.32266235351562,95.88705444335938,103.93785095214844,99.36170196533203,103.53892517089844,110.79635620117188,99.80082702636719,114.68680572509766,117.6134033203125,119.08172607421875,120.72367858886719,122.31536102294922,110.50322723388672,115.037841796875,105.19707489013672,116.51545715332031,116.06906127929688,115.53580474853516,111.7612533569336,113.98109436035156,111.74202728271484,111.43577575683594,109.25152587890625,106.31649780273438,104.97122955322266,98.66630554199219,88.66854095458984,84.52825164794922,81.96410369873047,72.59366607666016,74.1443099975586,80.47903442382812,91.58293914794922,97.48907470703125,95.35655975341797,94.47151184082031,103.15070343017578,105.53683471679688,108.55043029785156,108.27091217041016,120.09586334228516,116.64087677001953,125.46556091308594,126.72863006591797,129.90325927734375,129.6798858642578,135.4877166748047,140.28448486328125,145.19644165039062,137.82852172851562,146.32455444335938,154.0313262939453,145.7759246826172,154.8245849609375,164.78160095214844,147.40066528320312,143.0003204345703,141.03298950195312,125.62042999267578,118.20367431640625,126.92232513427734,126.0246810913086,130.8456268310547,122.44322967529297,135.31552124023438,120.66309356689453,132.82508850097656,139.1273193359375,143.59371948242188,151.25228881835938,137.126708984375,156.9398651123047,150.21676635742188,136.7247314453125,150.32078552246094,159.3860626220703,168.9780731201172,166.56031799316406,148.88607788085938,140.80751037597656,126.9355239868164,153.36947631835938,159.0915069580078,163.8520050048828,182.76600646972656,195.99636840820312,200.9415740966797,209.2490997314453,219.98326110839844,217.36715698242188,224.37339782714844,242.3485870361328,249.3975830078125,242.59262084960938,247.63621520996094,235.8995819091797,224.56951904296875,228.3236083984375,218.63133239746094,233.5079345703125,204.2123565673828,213.7172088623047,216.4016571044922,199.98146057128906,202.26473999023438,186.56558227539062,206.21910095214844,192.2104949951172,219.80108642578125,213.90159606933594,203.50999450683594,244.50999450683594,248.1699981689453,248.1699981689453
2,Packaged Foods & Meats,HRL,12.903687477111816,14.309409141540527,15.543831825256348,17.16843032836914,17.14765739440918,16.614225387573242,16.09684944152832,17.669824600219727,17.35765838623047,17.64674949645996,18.208154678344727,18.93619155883789,18.99928092956543,19.112842559814453,20.04424476623535,20.81306266784668,20.145620346069336,20.875911712646484,20.935304641723633,19.200241088867188,21.589189529418945,21.891645431518555,22.96514320373535,22.70087242126465,22.281749725341797,21.9054012298584,25.147403717041016,24.433940887451172,23.359447479248047,24.700138092041016,24.333221435546875,25.55915641784668,26.48946762084961,27.447603225708008,29.285825729370117,32.60702133178711,34.41755676269531,34.99640655517578,37.140106201171875,37.777889251708984,33.680335998535156,30.173171997070312,32.09352493286133,32.75117874145508,33.682716369628906,33.392208099365234,33.89400863647461,30.258968353271484,30.7626895904541,32.07945251464844,31.303279876708984,30.752700805664062,31.152320861816406,30.01363182067871,30.442018508911133,30.495567321777344,27.5781307220459,28.83412742614746,27.954933166503906,32.88337326049805,32.82924270629883,30.970815658569336,29.4401912689209,31.127155303955078,32.87760543823242,32.72642517089844,33.930076599121094,32.79936981201172,35.87865447998047,36.10776901245117,39.99346923828125,41.512107849121094,39.29334259033203,38.96190643310547,40.114158630371094,41.40935516357422,36.950164794921875,36.719398498535156,37.69573211669922,38.11416244506836,39.82338333129883,40.87013626098633,38.215858459472656,41.832820892333984,42.377689361572266,44.397457122802734,39.286033630371094,44.045684814453125,44.24399948120117,46.34181213378906,45.81034851074219,48.268375396728516,48.62324905395508,46.6298713684082,46.43911361694336,45.20762634277344,44.661460876464844,44.901004791259766,44.670867919921875,46.029205322265625,44.50709915161133,47.00524139404297,46.24021530151367,44.913536071777344,44.32752990722656,39.90840530395508,41.19326400756836,40.52933120727539,47.78348922729492,46.471675872802734,46.884307861328125,50.72244644165039,51.5589599609375,48.134544372558594,46.838958740234375,48.797176361083984,49.99568557739258,45.18305206298828,46.18734359741211,47.400001525878906,47.400001525878906
3,Application Software,ANSS,67.33999633789062,73.5999984741211,75.80000305175781,81.41999816894531,80.86000061035156,74.5,73.0999984741211,79.83999633789062,83.9800033569336,86.5199966430664,87.44999694824219,85.66999816894531,87.19999694824219,78.52999877929688,83.5199966430664,77.0199966430664,76.30999755859375,73.44999694824219,75.81999969482422,76.94000244140625,81.30000305175781,75.66999816894531,78.55999755859375,83.5199966430664,82.0,80.66999816894531,85.97000122070312,88.19000244140625,85.83999633789062,89.0,91.23999786376953,94.1500015258789,88.5999984741211,88.13999938964844,95.30999755859375,93.20999908447266,92.5,88.19000244140625,83.0199966430664,89.45999908447266,90.7699966430664,89.0999984741211,90.75,89.36000061035156,95.08999633789062,92.61000061035156,91.3499984741211,94.02999877929688,92.48999786376953,93.26000213623047,106.76000213623047,106.87000274658203,110.16000366210938,126.33000183105469,121.68000030517578,129.5500030517578,128.82000732421875,122.7300033569336,136.7100067138672,148.19000244140625,147.58999633789062,161.64999389648438,159.94000244140625,156.69000244140625,161.66000366210938,162.8000030517578,174.17999267578125,168.8800048828125,185.97999572753906,186.67999267578125,149.5500030517578,162.02000427246094,142.94000244140625,164.35000610351562,177.25999450683594,182.7100067138672,195.8000030517578,179.5,204.82000732421875,203.1199951171875,206.55999755859375,221.36000061035156,220.14999389648438,254.69000244140625,257.4100036621094,274.3299865722656,242.19000244140625,232.47000122070312,261.8299865722656,283.0,291.7300109863281,310.6000061035156,339.010009765625,327.2300109863281,304.3699951171875,338.05999755859375,363.79998779296875,354.3699951171875,340.989990234375,339.55999755859375,365.6600036621094,337.94000244140625,347.05999755859375,368.4599914550781,365.3599853515625,340.45001220703125,379.5799865722656,391.4800109863281,401.1199951171875,340.010009765625,324.19000244140625,317.6499938964844,275.69000244140625,260.3599853515625,239.2899932861328,278.989990234375,248.3000030517578,221.6999969482422,221.16000366210938,255.7100067138672,255.7100067138672
4,Application Software,ADSK,35.349998474121094,38.880001068115234,36.720001220703125,41.25,39.380001068115234,37.72999954223633,33.939998626708984,35.38999938964844,36.75,41.16999816894531,39.900001525878906,45.25,50.31999969482422,51.25,52.47999954223633,49.18000030517578,48.02000045776367,52.369998931884766,56.380001068115234,53.349998474121094,53.63999938964844,55.099998474121094,57.540000915527344,62.0,60.060001373291016,54.0099983215332,64.23999786376953,58.63999938964844,56.83000183105469,54.150001525878906,50.08000183105469,50.58000183105469,46.75,44.13999938964844,55.189998626708984,63.470001220703125,60.93000030517578,46.81999969482422,51.7400016784668,58.310001373291016,59.81999969482422,58.27000045776367,54.13999938964844,59.45000076293945,67.4000015258789,72.33000183105469,72.27999877929688,72.61000061035156,74.01000213623047,81.33999633789062,86.30000305175781,86.47000122070312,90.06999969482422,111.7699966430664,100.81999969482422,110.79000091552734,114.45999908447266,112.26000213623047,124.95999908447266,109.69999694824219,104.83000183105469,115.62000274658203,117.47000122070312,125.58000183105469,125.9000015258789,129.10000610351562,131.08999633789062,128.44000244140625,154.35000610351562,156.11000061035156,129.25,144.5,128.61000061035156,147.1999969482422,163.00999450683594,155.82000732421875,178.2100067138672,160.91000366210938,162.89999389648438,156.1699981689453,142.82000732421875,147.6999969482422,147.36000061035156,180.89999389648438,183.4600067138672,196.85000610351562,190.8800048828125,156.10000610351562,187.1300048828125,210.3800048828125,239.19000244140625,236.42999267578125,245.6999969482422,231.00999450683594,235.5399932861328,280.2300109863281,305.3399963378906,277.42999267578125,276.0,277.1499938964844,291.9100036621094,285.8599853515625,291.8999938964844,321.1300048828125,310.0899963378906,285.1700134277344,317.6099853515625,254.19000244140625,281.19000244140625,249.7899932861328,220.22999572753906,214.35000610351562,189.27999877929688,207.75,171.9600067138672,216.32000732421875,201.74000549316406,186.8000030517578,214.3000030517578,228.8000030517578,228.8000030517578
5,Oil & Gas Exploration & Production,EQT,30.792354583740234,31.016847610473633,32.93811798095703,35.38849639892578,39.2381477355957,41.724483489990234,41.474342346191406,45.2000846862793,44.792518615722656,46.37665939331055,44.7509765625,44.48960494995117,46.94741439819336,48.53185272216797,53.48908996582031,50.72308349609375,57.010498046875,55.90679931640625,55.933319091796875,49.089473724365234,51.831199645996094,47.911949157714844,49.220458984375,47.61885452270508,39.6336669921875,38.973968505859375,41.78550338745117,43.403507232666016,47.106449127197266,44.555763244628906,42.616065979003906,40.263633728027344,40.771854400634766,33.9480094909668,34.62937545776367,29.990808486938477,27.33527946472168,32.37445068359375,29.22824478149414,35.2874870300293,36.77747344970703,38.43009948730469,40.640235900878906,38.24161911010742,37.52778625488281,38.13225555419922,34.6561393737793,36.79850769042969,34.35676193237305,31.850921630859375,31.462169647216797,32.113067626953125,30.557342529296875,29.04892349243164,30.810251235961914,33.49740982055664,32.78223419189453,34.32363510131836,32.90313720703125,31.35636329650879,29.9603214263916,28.57599639892578,26.48109245300293,25.023000717163086,26.434524536132812,27.14556121826172,29.079729080200195,26.181245803833008,26.88742446899414,23.32294464111328,17.912742614746094,18.12380599975586,18.330326080322266,18.89314079284668,17.583141326904297,20.15699005126953,19.87514305114746,17.78558349609375,15.387707710266113,14.706402778625488,9.898354530334473,10.380895614624023,10.478459358215332,8.517407417297363,10.66426944732666,5.919158458709717,5.743051052093506,6.956625461578369,14.356034278869629,13.126079559326172,11.7091703414917,14.287158012390137,15.615507125854492,12.722654342651367,14.897214889526367,14.641383171081543,12.506182670593262,16.048452377319336,17.504718780517578,18.28205108642578,18.793712615966797,20.545167922973633,21.903038024902344,18.095096588134766,18.036060333251953,20.13190269470215,19.590723037719727,19.118419647216797,21.46025276184082,20.90923309326172,22.7689266204834,34.05463790893555,39.33949279785156,47.22718811035156,34.16157913208008,43.724830627441406,47.46870040893555,40.61164474487305,41.69794464111328,42.47529602050781,42.619998931884766
6,Aerospace & Defense,HWM,18.820056915283203,19.16697120666504,18.473146438598633,18.473146438598633,18.429779052734375,18.429779052734375,16.955398559570312,17.237266540527344,16.695209503173828,17.605863571166992,20.099300384521484,20.83649253845215,23.04806137084961,24.956090927124023,25.45478057861328,27.904857635498047,29.20578384399414,29.50933265686035,32.284645080566406,35.53695297241211,36.01396942138672,34.88648986816406,36.33918380737305,37.48834228515625,34.23599624633789,33.932456970214844,32.06779861450195,28.013246536254883,29.09735107421875,27.10260009765625,24.175518035888672,21.400209426879883,20.489564895629883,20.944887161254883,19.362117767333984,20.294437408447266,21.400209426879883,15.806239128112793,19.362102508544922,20.77142906188965,24.218887329101562,20.099285125732422,20.099285125732422,23.0263671875,21.855541229248047,21.985626220703125,20.756996154785156,18.58843994140625,17.968242645263672,22.087169647216797,27.902141571044922,25.59508514404297,26.55708122253418,26.693126678466797,22.058181762695312,24.142271041870117,24.804500579833984,24.287975311279297,24.522268295288086,24.024398803710938,26.66526985168457,29.414979934692383,23.866641998291016,22.590702056884766,17.462690353393555,17.30581283569336,16.736103057861328,21.340742111206055,22.019630432128906,21.716447830200195,20.058856964111328,21.19351577758789,16.684375762939453,18.623960494995117,18.297399520874023,18.973079681396484,21.326095581054688,21.743085861206055,25.658912658691406,24.8837833404541,25.678787231445312,25.858444213867188,27.320438385009766,30.791439056396484,30.623279571533203,29.80718994140625,29.21004867553711,15.99365520477295,13.016005516052246,13.025964736938477,15.78452205657959,14.718942642211914,17.447622299194336,16.650924682617188,17.178735733032227,23.363080978393555,28.422096252441406,24.478456497192383,27.993873596191406,31.997262954711914,31.827966690063477,35.33342742919922,34.327598571777344,32.68440628051758,31.618837356567383,31.09136390686035,29.586620330810547,28.03205108642578,31.74003028869629,31.002120971679688,35.8184700012207,35.86040496826172,34.044437408447266,35.69078063964844,31.39752769470215,37.068050384521484,35.37088394165039,30.89499282836914,35.509761810302734,37.38763427734375,37.43000030517578
7,Semiconductors,NVDA,2.831782341003418,2.831782341003418,2.9241745471954346,2.9816200733184814,3.200071096420288,3.3627474308013916,3.279391288757324,3.37282133102417,3.4452292919158936,3.6527507305145264,3.5658907890319824,3.6621406078338623,3.7811038494110107,3.705575466156006,4.338119029998779,4.246275424957275,4.379045486450195,4.504703521728516,4.415888786315918,4.168179035186768,4.63263463973999,4.413888931274414,4.674656867980957,5.016764163970947,4.816966533660889,4.612756252288818,5.299864768981934,5.047747611999512,5.354036331176758,5.337154388427734,4.872435092926025,4.833667755126953,5.446659088134766,5.997555732727051,6.902663230895996,7.717746734619141,8.049901008605957,7.153568267822266,7.659130573272705,8.733704566955566,8.70919418334961,11.452110290527344,11.553122520446777,14.032824516296387,15.07484245300293,16.87042236328125,17.52042007446289,22.700714111328125,26.319976806640625,26.921634674072266,25.022964477539062,26.89388656616211,25.750778198242188,35.638790130615234,35.728214263916016,40.16458511352539,41.87735366821289,44.22218704223633,51.15839767456055,49.64945602416992,47.899169921875,60.845577239990234,59.9049072265625,57.36363983154297,55.70655822753906,62.46615219116211,58.715187072753906,60.68806076049805,69.56596374511719,69.6883316040039,52.282371520996094,40.52794647216797,33.1389274597168,35.68330001831055,38.292213439941406,44.6184196472168,44.97623825073242,33.660125732421875,40.85567855834961,41.972660064697266,41.67165756225586,43.346458435058594,50.05746841430664,53.97202682495117,58.63702392578125,58.91862106323242,67.30174255371094,65.72872161865234,72.88008117675781,88.52430725097656,94.73062896728516,105.91990661621094,133.45822143554688,135.01490783691406,125.1086654663086,133.7676544189453,130.30906677246094,129.69607543945312,136.93231201171875,133.2755126953125,149.9139862060547,162.2490997314453,199.78375244140625,194.79946899414062,223.63125610351562,206.9940643310547,255.46522521972656,326.498291015625,293.8743896484375,244.69383239746094,243.6845245361328,272.6748046875,185.37571716308594,186.6250762939453,151.512939453125,181.5760498046875,150.89515686035156,121.35393524169922,134.97000122070312,163.27000427246094,163.27000427246094
8,Packaged Foods & Meats,K,40.74410629272461,42.6773567199707,44.136409759521484,47.347862243652344,47.79612350463867,45.59886169433594,47.52964782714844,49.017032623291016,44.92488098144531,43.78948974609375,47.15961837768555,45.213584899902344,45.876060485839844,43.554840087890625,45.590606689453125,47.1080436706543,50.586544036865234,52.213985443115234,50.06980895996094,45.59630584716797,49.513484954833984,47.30024719238281,49.11241149902344,50.87080383300781,50.62969970703125,50.738014221191406,49.886959075927734,51.02426528930664,49.37078857421875,48.934226989746094,49.2613410949707,51.987606048583984,52.07402038574219,52.67717742919922,55.819583892822266,54.434391021728516,57.62125015258789,58.55409622192383,59.01655197143555,61.443851470947266,61.652530670166016,59.694026947021484,65.97532653808594,66.83184051513672,66.42780303955078,62.991912841796875,61.0892333984375,58.54417419433594,60.35935974121094,59.54050064086914,60.65416717529297,59.87246322631836,58.54488754272461,59.03963088989258,57.6881103515625,56.475555419921875,54.36602020263672,52.225067138671875,52.359046936035156,55.39860916137695,57.386478424072266,57.49619674682617,55.88385009765625,54.879295349121094,50.1259765625,54.798152923583984,59.952579498291016,60.94793701171875,61.60005187988281,60.55391311645508,56.6276741027832,55.04507064819336,49.74314880371094,51.48822021484375,49.088748931884766,50.06599426269531,53.13730239868164,46.31671142578125,47.71974182128906,51.86193084716797,55.94175720214844,57.846187591552734,57.109066009521484,58.538368225097656,62.71489715576172,61.85343933105469,54.8347282409668,54.39945983886719,59.961181640625,59.78724670410156,61.005367279052734,63.71116256713867,65.48424530029297,60.13374328613281,58.5510368347168,59.500667572021484,58.46151351928711,55.37074279785156,54.215232849121094,59.466712951660156,59.22496795654297,62.1378288269043,61.582183837890625,60.65361785888672,60.44300842285156,61.75680923461914,59.2254753112793,59.109535217285156,62.810264587402344,61.42574691772461,62.34225845336914,63.438720703125,67.38335418701172,68.60313415527344,70.7649917602539,73.3241958618164,72.1537094116211,69.66000366210938,76.81999969482422,68.9800033569336,68.9800033569336
9,Regional Banks,MTB,76.95500183105469,80.25294494628906,79.7840347290039,81.17381286621094,78.84468078613281,82.54296875,88.51764678955078,92.56529235839844,89.77709197998047,89.19767761230469,89.68383026123047,91.93927764892578,93.34657287597656,89.40969848632812,93.48287963867188,97.85131072998047,98.42405700683594,97.90779876708984,100.64667510986328,98.57776641845703,100.30591583251953,100.59896850585938,99.69325256347656,102.82649230957031,103.07176208496094,92.84827423095703,99.28104400634766,104.80757141113281,98.75846099853516,99.75701904296875,103.69294738769531,108.85557556152344,98.14020538330078,101.81010437011719,100.05692291259766,105.23001098632812,101.74557495117188,92.50971984863281,86.10338592529297,93.82195281982422,100.0091323852539,101.00653076171875,100.52704620361328,97.40656280517578,100.6120834350586,99.30402374267578,104.97488403320312,123.11644744873047,134.46812438964844,139.74610900878906,143.5283660888672,133.00677490234375,134.1757049560547,135.0908660888672,140.479736328125,141.52061462402344,128.25772094726562,140.39173889160156,145.38705444335938,147.2875518798828,149.73004150390625,167.05946350097656,166.236328125,161.4376678466797,160.2439422607422,151.28533935546875,150.2789764404297,153.10525512695312,156.46145629882812,146.15286254882812,146.92562866210938,150.12330627441406,127.8935775756836,147.02442932128906,154.63746643066406,140.3049774169922,152.84898376464844,143.43914794921875,153.7972869873047,148.53419494628906,132.2202606201172,143.83163452148438,142.5205078125,149.99574279785156,155.58348083496094,154.45611572265625,128.66455078125,95.52454376220703,103.5134048461914,97.5841064453125,97.00155639648438,98.84886169433594,96.33914184570312,86.81532287597656,97.647216796875,109.81776428222656,121.10977172851562,126.02836608886719,143.60020446777344,145.25732421875,151.0825653076172,153.95684814453125,140.18338012695312,129.127685546875,135.07034301757812,145.22067260742188,143.0618896484375,142.5659637451172,150.5166473388672,166.00149536132812,178.5951690673828,167.2695770263672,164.44720458984375,177.601806640625,158.34356689453125,176.2849884033203,180.58656311035156,176.32000732421875,168.3699951171875,166.1999969482422,166.1999969482422
