,GICS Sector,GICS Sub-Industry,Symbol,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-11-11
0,Information Technology,Semiconductors,ADI,33.29962158203125,34.80741882324219,36.06764221191406,37.36288070678711,35.35369110107422,36.912841796875,36.48639678955078,39.98442840576172,37.47426223754883,38.380455017089844,40.21587371826172,39.33486557006836,41.54550552368164,39.64765548706055,41.742149353027344,43.96796798706055,42.437278747558594,43.33915328979492,45.05184555053711,41.35238265991211,42.59386444091797,41.23573684692383,41.648468017578125,45.86199188232422,46.600624084472656,44.0335578918457,49.46697998046875,53.59536361694336,52.60852813720703,57.8149528503418,54.936439514160156,49.921199798583984,47.80727767944336,48.66259765625,51.86307144165039,53.165679931640625,47.7223014831543,46.76664733886719,46.011234283447266,51.81760025024414,49.305084228515625,51.21355056762695,49.945518493652344,56.28571701049805,55.16582489013672,57.209049224853516,56.898372650146484,65.89913940429688,64.82646179199219,66.89749908447266,73.13733673095703,73.55484008789062,68.39389038085938,76.97454071044922,69.82997131347656,71.31668853759766,75.52293395996094,77.77949523925781,82.86189270019531,78.15155792236328,81.2284164428711,83.82867431640625,82.2502670288086,83.14437866210938,80.11026000976562,89.12552642822266,87.9699478149414,88.58821105957031,91.08531951904297,85.60749816894531,77.50597381591797,85.10751342773438,79.89696502685547,92.02625274658203,99.56635284423828,98.49526977539062,108.75929260253906,90.40194702148438,106.19064331054688,110.5090103149414,103.3305435180664,105.64620208740234,100.82389831542969,106.79975891113281,112.36904907226562,104.26622009277344,103.60118865966797,85.63285064697266,104.68891906738281,107.88880157470703,117.78136444091797,110.29998016357422,112.24954223632812,112.69488525390625,114.42285919189453,134.2607879638672,142.61106872558594,142.85459899902344,151.08668518066406,151.01333618164062,149.14369201660156,160.28369140625,168.3542938232422,163.71905517578125,159.34788513183594,164.4697265625,170.37171936035156,177.01019287109375,172.61073303222656,161.63955688476562,158.0118408203125,163.6269989013672,152.92855834960938,166.8167266845703,145.39024353027344,171.1363525390625,150.80419921875,139.33999633789062,142.6199951171875,164.05999755859375,164.05999755859375
1,Information Technology,Application Software,ANSS,67.33999633789062,73.5999984741211,75.80000305175781,81.41999816894531,80.86000061035156,74.5,73.0999984741211,79.83999633789062,83.9800033569336,86.5199966430664,87.44999694824219,85.66999816894531,87.19999694824219,78.52999877929688,83.5199966430664,77.0199966430664,76.30999755859375,73.44999694824219,75.81999969482422,76.94000244140625,81.30000305175781,75.66999816894531,78.55999755859375,83.5199966430664,82.0,80.66999816894531,85.97000122070312,88.19000244140625,85.83999633789062,89.0,91.23999786376953,94.1500015258789,88.5999984741211,88.13999938964844,95.30999755859375,93.20999908447266,92.5,88.19000244140625,83.0199966430664,89.45999908447266,90.7699966430664,89.0999984741211,90.75,89.36000061035156,95.08999633789062,92.61000061035156,91.3499984741211,94.02999877929688,92.48999786376953,93.26000213623047,106.76000213623047,106.87000274658203,110.16000366210938,126.33000183105469,121.68000030517578,129.5500030517578,128.82000732421875,122.7300033569336,136.7100067138672,148.19000244140625,147.58999633789062,161.64999389648438,159.94000244140625,156.69000244140625,161.66000366210938,162.8000030517578,174.17999267578125,168.8800048828125,185.97999572753906,186.67999267578125,149.5500030517578,162.02000427246094,142.94000244140625,164.35000610351562,177.25999450683594,182.7100067138672,195.8000030517578,179.5,204.82000732421875,203.1199951171875,206.55999755859375,221.36000061035156,220.14999389648438,254.69000244140625,257.4100036621094,274.3299865722656,242.19000244140625,232.47000122070312,261.8299865722656,283.0,291.7300109863281,310.6000061035156,339.010009765625,327.2300109863281,304.3699951171875,338.05999755859375,363.79998779296875,354.3699951171875,340.989990234375,339.55999755859375,365.6600036621094,337.94000244140625,347.05999755859375,368.4599914550781,365.3599853515625,340.45001220703125,379.5799865722656,391.4800109863281,401.1199951171875,340.010009765625,324.19000244140625,317.6499938964844,275.69000244140625,260.3599853515625,239.2899932861328,278.989990234375,248.3000030517578,221.6999969482422,221.16000366210938,255.7100067138672,255.7100067138672
2,Information Technology,Application Software,ADSK,35.349998474121094,38.880001068115234,36.720001220703125,41.25,39.380001068115234,37.72999954223633,33.939998626708984,35.38999938964844,36.75,41.16999816894531,39.900001525878906,45.25,50.31999969482422,51.25,52.47999954223633,49.18000030517578,48.02000045776367,52.369998931884766,56.380001068115234,53.349998474121094,53.63999938964844,55.099998474121094,57.540000915527344,62.0,60.060001373291016,54.0099983215332,64.23999786376953,58.63999938964844,56.83000183105469,54.150001525878906,50.08000183105469,50.58000183105469,46.75,44.13999938964844,55.189998626708984,63.470001220703125,60.93000030517578,46.81999969482422,51.7400016784668,58.310001373291016,59.81999969482422,58.27000045776367,54.13999938964844,59.45000076293945,67.4000015258789,72.33000183105469,72.27999877929688,72.61000061035156,74.01000213623047,81.33999633789062,86.30000305175781,86.47000122070312,90.06999969482422,111.7699966430664,100.81999969482422,110.79000091552734,114.45999908447266,112.26000213623047,124.95999908447266,109.69999694824219,104.83000183105469,115.62000274658203,117.47000122070312,125.58000183105469,125.9000015258789,129.10000610351562,131.08999633789062,128.44000244140625,154.35000610351562,156.11000061035156,129.25,144.5,128.61000061035156,147.1999969482422,163.00999450683594,155.82000732421875,178.2100067138672,160.91000366210938,162.89999389648438,156.1699981689453,142.82000732421875,147.6999969482422,147.36000061035156,180.89999389648438,183.4600067138672,196.85000610351562,190.8800048828125,156.10000610351562,187.1300048828125,210.3800048828125,239.19000244140625,236.42999267578125,245.6999969482422,231.00999450683594,235.5399932861328,280.2300109863281,305.3399963378906,277.42999267578125,276.0,277.1499938964844,291.9100036621094,285.8599853515625,291.8999938964844,321.1300048828125,310.0899963378906,285.1700134277344,317.6099853515625,254.19000244140625,281.19000244140625,249.7899932861328,220.22999572753906,214.35000610351562,189.27999877929688,207.75,171.9600067138672,216.32000732421875,201.74000549316406,186.8000030517578,214.3000030517578,228.8000030517578,228.8000030517578
3,Information Technology,Semiconductors,NVDA,2.831782341003418,2.831782341003418,2.9241745471954346,2.9816200733184814,3.200071096420288,3.3627474308013916,3.279391288757324,3.37282133102417,3.4452292919158936,3.6527507305145264,3.5658907890319824,3.6621406078338623,3.7811038494110107,3.705575466156006,4.338119029998779,4.246275424957275,4.379045486450195,4.504703521728516,4.415888786315918,4.168179035186768,4.63263463973999,4.413888931274414,4.674656867980957,5.016764163970947,4.816966533660889,4.612756252288818,5.299864768981934,5.047747611999512,5.354036331176758,5.337154388427734,4.872435092926025,4.833667755126953,5.446659088134766,5.997555732727051,6.902663230895996,7.717746734619141,8.049901008605957,7.153568267822266,7.659130573272705,8.733704566955566,8.70919418334961,11.452110290527344,11.553122520446777,14.032824516296387,15.07484245300293,16.87042236328125,17.52042007446289,22.700714111328125,26.319976806640625,26.921634674072266,25.022964477539062,26.89388656616211,25.750778198242188,35.638790130615234,35.728214263916016,40.16458511352539,41.87735366821289,44.22218704223633,51.15839767456055,49.64945602416992,47.899169921875,60.845577239990234,59.9049072265625,57.36363983154297,55.70655822753906,62.46615219116211,58.715187072753906,60.68806076049805,69.56596374511719,69.6883316040039,52.282371520996094,40.52794647216797,33.1389274597168,35.68330001831055,38.292213439941406,44.6184196472168,44.97623825073242,33.660125732421875,40.85567855834961,41.972660064697266,41.67165756225586,43.346458435058594,50.05746841430664,53.97202682495117,58.63702392578125,58.91862106323242,67.30174255371094,65.72872161865234,72.88008117675781,88.52430725097656,94.73062896728516,105.91990661621094,133.45822143554688,135.01490783691406,125.1086654663086,133.7676544189453,130.30906677246094,129.69607543945312,136.93231201171875,133.2755126953125,149.9139862060547,162.2490997314453,199.78375244140625,194.79946899414062,223.63125610351562,206.9940643310547,255.46522521972656,326.498291015625,293.8743896484375,244.69383239746094,243.6845245361328,272.6748046875,185.37571716308594,186.6250762939453,151.512939453125,181.5760498046875,150.89515686035156,121.35393524169922,134.97000122070312,163.27000427246094,163.27000427246094
4,Information Technology,"Technology Hardware, Storage & Peripherals",HPQ,4.856634140014648,5.6806721687316895,6.929663181304932,8.202738761901855,7.1327738761901855,8.455451965332031,8.587026596069336,8.944003105163574,7.780722141265869,7.3105340003967285,8.542997360229492,9.587646484375,9.808490753173828,10.219557762145996,10.529666900634766,11.40361213684082,11.706238746643066,11.862038612365723,11.925774574279785,12.669069290161133,13.519368171691895,12.619263648986816,12.819709777832031,13.955904960632324,14.338208198547363,12.961467742919922,12.498688697814941,11.178504943847656,11.88514518737793,12.040155410766602,10.818113327026367,11.061098098754883,10.169541358947754,9.281609535217285,9.83239459991455,10.070575714111328,9.508423805236816,7.877151966094971,8.672170639038086,9.994494438171387,10.065572738647461,10.976146697998047,10.295267105102539,11.599503517150879,11.897566795349121,12.85798454284668,12.103588104248047,12.86371898651123,12.395947456359863,12.678216934204102,14.632600784301758,15.062224388122559,15.976557731628418,15.925625801086426,14.839014053344727,16.336320877075195,16.319215774536133,17.07188606262207,18.559581756591797,18.473461151123047,18.094518661499023,20.21589469909668,20.27657699584961,19.002243041992188,18.73878288269043,19.20965576171875,19.785158157348633,20.242414474487305,21.619388580322266,22.601694107055664,21.29215431213379,20.286645889282227,18.046295166015625,19.569936752319336,17.526769638061523,17.260276794433594,17.872394561767578,16.73465347290039,18.624919891357422,19.001815795898438,16.518213272094727,17.087186813354492,15.820489883422852,18.288740158081055,18.716814041137695,19.58652687072754,19.099624633789062,15.94851016998291,14.38243293762207,14.039332389831543,16.16284942626953,16.461397171020508,18.30604362487793,17.78167724609375,16.972553253173828,20.72428321838379,23.238033294677734,23.19178009033203,27.603361129760742,30.252222061157227,32.7113037109375,28.031402587890625,28.952041625976562,27.863107681274414,28.702762603759766,26.405771255493164,29.463607788085938,34.27220916748047,36.593936920166016,35.923980712890625,33.605987548828125,35.503414154052734,36.0791130065918,38.25587463378906,32.28701400756836,33.097206115722656,28.45824432373047,24.701480865478516,27.6200008392334,30.549999237060547,30.549999237060547
5,Information Technology,Systems Software,MSFT,22.086387634277344,22.69828987121582,22.987712860107422,23.853370666503906,27.596864700317383,29.09760093688965,28.999385833740234,26.73249626159668,28.042264938354492,28.138402938842773,29.939315795898438,32.239097595214844,31.87022590637207,32.236534118652344,32.63694763183594,35.181922912597656,34.6755256652832,35.139007568359375,36.04383850097656,37.30579376220703,39.26789855957031,40.3220329284668,40.835182189941406,41.583168029785156,40.655120849609375,35.359886169433594,38.379478454589844,35.840721130371094,42.8748664855957,41.30584716796875,39.16996383666992,41.43233108520508,38.61103820800781,39.52650451660156,47.01029968261719,48.53741455078125,49.88052749633789,49.52988815307617,45.74480056762695,50.012271881103516,45.158653259277344,47.99293899536133,46.65993118286133,51.68428421020508,52.39552307128906,52.85054397583008,54.979251861572266,55.29121780395508,57.401371002197266,59.7199592590332,59.10105895996094,61.20654296875,63.62282180786133,64.90531921386719,64.42679595947266,67.95051574707031,69.88526153564453,69.9945068359375,78.1600570678711,79.0903091430664,80.78128814697266,89.72447204589844,88.5534439086914,86.59741973876953,88.73223876953125,93.77986145019531,93.9671859741211,101.08547973632812,107.04122924804688,109.40457153320312,102.17279052734375,106.07565307617188,97.58003997802734,100.32767486572266,107.6291275024414,113.7908706665039,126.00550079345703,119.32892608642578,129.72572326660156,131.96270751953125,133.50244140625,135.08377075195312,139.3005828857422,147.083251953125,153.7452392578125,165.9610137939453,157.9471435546875,154.1749267578125,175.1930389404297,179.14247131347656,199.5023956298828,200.97286987304688,221.08880615234375,206.68653869628906,198.96270751953125,210.3617706298828,219.1393280029297,228.53863525390625,228.9524383544922,232.82745361328125,249.0326385498047,246.56381225585938,268.13671875,282.0038146972656,298.8007507324219,279.5785217285156,328.86572265625,327.8442687988281,334.13690185546875,308.96136474609375,296.85052490234375,306.9420471191406,276.2886657714844,270.66375732421875,256.2859802246094,280.1453552246094,260.9161682128906,232.89999389648438,232.1300048828125,247.11000061035156,247.11000061035156
6,Information Technology,Systems Software,FTNT,4.203999996185303,4.7179999351501465,4.835999965667725,4.736000061035156,3.5920000076293945,3.8519999980926514,3.5,4.25,3.9600000381469727,4.052000045776367,4.026000022888184,3.4200000762939453,3.8259999752044678,4.239999771118164,4.630000114440918,4.406000137329102,4.395999908447266,4.49399995803833,5.026000022888184,4.909999847412109,5.1620001792907715,5.053999900817871,5.210000038146973,5.51200008392334,6.131999969482422,5.980000019073486,6.7220001220703125,6.989999771118164,7.547999858856201,8.01200008392334,8.265999794006348,9.54800033569336,8.428000450134277,8.496000289916992,6.872000217437744,7.203999996185303,6.234000205993652,5.627999782562256,5.679999828338623,6.125999927520752,6.501999855041504,6.8420000076293945,6.317999839782715,6.938000202178955,7.228000164031982,7.386000156402588,6.4120001792907715,6.019999980926514,6.02400016784668,6.6519999504089355,7.46999979019165,7.670000076293945,7.800000190734863,7.868000030517578,7.48799991607666,7.381999969482422,7.639999866485596,7.168000221252441,7.881999969482422,8.411999702453613,8.73799991607666,9.208000183105469,10.093999862670898,10.715999603271484,11.071999549865723,12.236000061035156,12.486000061035156,12.581999778747559,16.75200080871582,18.45400047302246,16.43600082397461,14.767999649047852,14.086000442504883,15.314000129699707,17.357999801635742,16.79400062561035,18.68400001525879,14.496000289916992,15.366000175476074,16.062000274658203,15.836000442504883,15.35200023651123,16.312000274658203,21.02199935913086,21.351999282836914,23.07200050354004,20.41200065612793,20.233999252319336,21.54800033569336,27.84000015258789,27.45400047302246,27.65999984741211,26.402000427246094,23.562000274658203,22.073999404907227,24.645999908447266,29.70599937438965,28.950000762939453,33.77000045776367,36.88399887084961,40.84600067138672,43.70800018310547,47.63800048828125,54.448001861572266,63.02799987792969,58.40800094604492,67.26799774169922,66.4219970703125,71.87999725341797,59.448001861572266,68.90399932861328,68.3479995727539,57.801998138427734,58.827999114990234,56.58000183105469,59.650001525878906,48.689998626708984,49.130001068115234,57.15999984741211,56.130001068115234,56.130001068115234
7,Information Technology,Communications Equipment,CSCO,14.49123477935791,15.16970157623291,15.383563995361328,15.413060188293457,15.427816390991211,17.93149757385254,18.095050811767578,19.024335861206055,17.451210021972656,17.541053771972656,16.889713287353516,16.025251388549805,16.915122985839844,16.52297592163086,16.565576553344727,17.036701202392578,17.56102752685547,18.86836051940918,19.044628143310547,19.335851669311523,19.298120498657227,19.43712043762207,19.04057502746582,21.507213592529297,21.64727020263672,20.518997192382812,23.12019920349121,21.568927764892578,22.760297775268555,23.139244079589844,21.67873191833496,22.436616897583008,20.588830947875977,20.88318634033203,22.951616287231445,21.853561401367188,21.78138542175293,19.07876205444336,21.159059524536133,23.009872436523438,22.21782112121582,23.6933536529541,23.399738311767578,24.900449752807617,25.876262664794922,26.106704711914062,25.250751495361328,24.745773315429688,25.077707290649414,25.49262809753418,28.607418060302734,28.289371490478516,28.51534652709961,26.61935043334961,26.425172805786133,26.55181121826172,27.44750213623047,28.657548904418945,29.100664138793945,32.059574127197266,32.91907501220703,35.70387268066406,38.775760650634766,37.13917922973633,38.3514518737793,37.28062057495117,37.559940338134766,36.91401290893555,42.02236557006836,42.79649353027344,40.24541091918945,42.395042419433594,38.37429428100586,41.88137435913086,46.20399856567383,48.18531799316406,49.93458938598633,46.73005676269531,49.15502166748047,49.756771087646484,42.307098388671875,44.656982421875,42.939754486083984,41.26156234741211,43.67478561401367,41.86259078979492,36.62957763671875,36.060821533203125,38.87706756591797,44.28334045410156,43.190608978271484,43.61659240722656,39.405494689941406,36.76415252685547,33.50680160522461,40.52251434326172,42.15208053588867,41.991943359375,42.607879638671875,49.10304260253906,48.34337615966797,50.59317398071289,50.688812255859375,52.955467224121094,56.839839935302734,52.41938781738281,53.902503967285156,53.1710319519043,61.441436767578125,53.97576904296875,54.391361236572266,54.38160705566406,47.76921081542969,44.237239837646484,41.8707160949707,44.55146408081055,44.308433532714844,39.631874084472656,45.011898040771484,44.790000915527344,44.790000915527344
8,Information Technology,Electronic Equipment & Instruments,ROP,105.12969207763672,110.92415618896484,117.68631744384766,120.23628997802734,113.00189971923828,117.47586059570312,117.47586059570312,119.12138366699219,117.134521484375,125.81782531738281,120.0794448852539,122.97462463378906,131.48895263671875,130.1236572265625,128.77435302734375,126.77088928222656,131.93629455566406,134.7304229736328,138.8480224609375,137.00315856933594,143.3722686767578,139.30609130859375,150.74276733398438,150.4953155517578,149.09353637695312,147.17681884765625,160.05972290039062,164.2911834716797,160.63279724121094,167.36326599121094,164.97178649902344,160.00717163085938,155.27389526367188,150.11053466796875,178.51368713378906,185.6346893310547,182.08493041992188,168.53811645507812,161.3704833984375,175.63084411621094,169.21173095703125,164.6738739013672,164.17330932617188,163.98081970214844,171.20928955078125,175.9535369873047,167.12066650390625,174.93057250976562,176.83334350585938,185.30413818359375,202.4445343017578,199.822021484375,211.63778686523438,220.2359619140625,224.43324279785156,225.33477783203125,223.92723083496094,236.29539489746094,250.63427734375,259.7745056152344,251.79296875,272.7822570800781,267.8495788574219,273.30218505859375,257.2364501953125,268.9342346191406,269.0512390136719,294.3951110839844,291.3890075683594,289.2794494628906,276.2809143066406,291.0303649902344,260.64508056640625,277.0161437988281,317.0615234375,335.0085144042969,352.37762451171875,337.3714294433594,359.2860107421875,356.7256774902344,360.21759033203125,350.23883056640625,330.94915771484375,354.42724609375,348.3884582519531,375.3661804199219,346.3918762207031,307.1039123535156,335.8829040527344,388.49395751953125,383.02862548828125,426.6231994628906,421.984619140625,390.2955017089844,366.8151550292969,422.344482421875,426.3898620605469,388.6261291503906,374.0001525878906,399.4736022949219,442.16046142578125,446.3192138671875,466.3436584472656,487.31024169921875,479.8861389160156,442.9970703125,484.44390869140625,461.4736633300781,489.02392578125,434.63934326171875,446.2223205566406,470.12530517578125,467.8255920410156,441.0414123535156,393.4024353027344,435.2896423339844,401.9230651855469,359.05316162109375,413.8635559082031,438.3599853515625,438.3599853515625
9,Information Technology,IT Consulting & Other Services,CTSH,34.56425857543945,36.575984954833984,35.91633605957031,35.846153259277344,30.316246032714844,30.246068954467773,29.30569839477539,33.8671875,34.292911529541016,38.41929626464844,40.66961669921875,43.925804138183594,47.2428092956543,45.33869934082031,48.68377685546875,47.345741271972656,44.828739166259766,45.48373031616211,45.764434814453125,45.89543151855469,42.788944244384766,41.89068603515625,45.708282470703125,50.517723083496094,49.273250579833984,50.648704528808594,58.47105407714844,58.377479553222656,54.77509307861328,60.5576286315918,57.16109085083008,59.04182815551758,58.892112731933594,58.58333206176758,63.729618072509766,60.426639556884766,56.159912109375,59.23831558227539,53.315425872802734,58.66754913330078,54.616031646728516,57.48858642578125,53.55870819091797,53.79261779785156,53.74583053588867,44.64159393310547,48.047508239746094,51.53761291503906,52.426513671875,49.207767486572266,55.4581413269043,55.69206237792969,56.356407165527344,62.606781005859375,62.274417877197266,65.01298522949219,66.37288665771484,68.17819213867188,71.12000274658203,67.933837890625,66.88268280029297,73.43724060058594,77.24187469482422,75.99681091308594,77.24299621582031,71.13492584228516,74.76795959472656,77.14381408691406,74.2378921508789,73.22178649902344,65.51524353027344,67.60321044921875,60.41965103149414,66.32073211669922,67.5580825805664,69.14619445800781,69.6329345703125,59.10590744018555,60.70170211791992,62.377479553222656,58.786521911621094,57.902069091796875,58.545745849609375,61.59120178222656,59.77193069458008,59.15512466430664,58.721435546875,44.92757034301758,56.094200134277344,51.24082946777344,55.16240692138672,66.3269271850586,64.90950775146484,67.61722564697266,69.5652847290039,76.10103607177734,80.050537109375,76.14324951171875,71.77686309814453,76.55071258544922,78.784912109375,70.12248992919922,68.09899139404297,72.29740142822266,75.03079986572266,73.19512939453125,77.02205657958984,76.91357421875,87.76677703857422,84.50222778320312,85.20460510253906,88.97522735595703,80.27317810058594,74.12120819091797,67.22552490234375,67.69368743896484,62.922454833984375,57.439998626708984,62.25,58.41999816894531,58.41999816894531
